year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;AVG
2012;10.58;-1.91;-2.02;-0.09;-6.37;2.38;0.87;4.93;4.39;-2.56;-0.31;-2.31;0.63
2013;-0.74;-4.93;0.99;-7.53;-5.87;-10.78;7.0;5.24;-4.69;-0.41;-5.43;-3.61;-2.56
2014;3.17;6.7;-3.6;0.56;-3.25;6.07;-3.27;0.29;-6.11;-2.9;-1.88;2.91;-0.11
2015;8.33;-5.37;-2.49;0.07;0.58;-1.56;-6.54;3.55;-1.73;2.41;-6.78;-0.27;-0.82
2016;5.18;10.98;-0.7;5.13;-5.76;8.63;2.06;-2.92;0.51;-3.21;-8.12;-1.72;0.84
2017;5.24;2.84;0.27;1.67;-0.13;-2.08;2.08;4.24;-3.09;-0.79;0.39;2.19;1.07
2018;3.23;-2.07;0.66;-0.83;-1.2;-3.58;-2.24;-1.86;-0.81;2.11;0.53;4.86;-0.1
2019;3.0;-0.52;-1.71;-0.66;1.75;6.48;1.44;7.68;-3.59;2.62;-3.19;3.66;1.41
2020;4.64;-0.47;-0.76;6.87;3.06;2.47;1.55;0.0;0.0;0.0;0.0;0.0;2.48
AVG;4.74;0.58;-1.04;0.58;-1.91;0.89;0.33;2.64;-1.89;-0.34;-3.1;0.71;0.18
